Sentiment,clean_text
negative,office ki meeting mein sab fukra type ke log the pura bakchodi chal raha tha
positive,party mein sabne apna tashan dikhaya maza hi aa gaya
positive,uska naya swag dekh ke sab bole bhai kya pataka look hai
negative,yeh plan bilkul ghanta sahi nahin lag raha bilkul flop hai gaya
positive,aaj ka hangout bilkul set hai full on masti aur mast vibes
negative,woh banda pura lukkha hai kuch samajh hi nahin aata uski baaton mein
positive,uski performance mein pura dhamaal tha ekdum rocking moment
negative,yaar yeh scene bilkul total bakchodi hai sab ka time barbaad hai raha hai
positive,usne apne jokes se sabka mood top class bana diya sab hass pade
positive,woh aake pura chill maar gaya sabko instantly impress kar diya
positive,meri team ka kaam aaj solid tha boss ne bhi tareef kar di
positive,aaj ki party mein sab log bilkul mad hai gaye energy level high tha
negative,uske ideas bilkul bekaar aur ghanta effective nikle koi impact nahin pada
positive,yaar tumhara naya style full on bomb hai sabko lagta hai tu trend setter hai
negative,woh fashion ka scene pura jhand hai koi logic nahin dikh raha
positive,usne apne presentation mein pura boss mode chala diya sab impressed hai gaye
neutral,aaj ka din bilkul fukra style mein guzra kuch khaas yaadgar nahin raha
positive,uski car ka look ekdum chamak raha tha sabko pasand aaya
positive,yeh gaane bilkul jhakaas hai sunte hi mood fresh hai gaya
negative,uska attitude bilkul jugaad type ka hai sabko confuse kar deta hai
positive,aaj ke game mein sabne milke pura scene set kar diya ekdum perfect coordination tha
positive,woh match bilkul bomb lag raha tha har shot pe dhamaal macha raha tha
negative,uski baatein itni tatti thi ki koi dhyaan bhi nahin deta
positive,meri planning aaj full on jhakkas thi sab tareef karne lage
negative,yeh project bilkul ganda chal raha hai results disappoint kar rahe hain
positive,uska idea ekdum dhamakedar tha sab ne uski tareef ki bina rukawat ke
positive,usne apni performance mein pura pukka talent dikhaya ekdum genuine effort tha
positive,aaj ka function bilkul bindaas tha full on energy aur maza
negative,uske excuses itne ghanta the ki koi bhi unhe sunna nahin chahta
positive,yaar aaj ka vibe bilkul jhakaas hai
positive,party mein sabke moves ekdum dhasu the maza aa gaya
negative,uska attitude bohot fattu hai samajh ke dekh
negative,yeh meeting puri tarah bakwaas thi bilkul time waste hai gayi
positive,aaj ka dinner ekdum mast tha sabko khush kar diya
negative,woh road trip plan full on jhol lag raha tha sab confuse hai gaye
positive,office ke bosses full on swag dikhate hain respect milta hai
negative,woh banda har waqt panga leta hai sabko irritate karta hai
positive,uska naya style toh ekdum bindass hai sab follow kar rahe hain
positive,meri bike ki speed dekh ke sab bole what a dhasu ride
negative,kal ka game ekdum chichora tha bilkul time ka nuksan
positive,usne apni performance se sabko jhakaas impress kar diya
positive,aaj ka mood full on chill hai koi tension nahin
negative,uske ideas bilkul fuzool hain koi logic nahin
positive,meeting mein sab ne bola that was a total dhoom maza aa gaya
negative,woh ladka hamesha fattu excuses deta rehta hai bilkul convincing nahin
negative,aaj ke project ne mere expectations ko pura bakwaas kar diya
positive,party mein sab ne full on swag dikhaya energy level high tha
positive,yeh dress dekh ke sab bole kitna bindass lag raha hai
negative,uska cooking style thoda jhol hai taste mein kami mehsoos hui
positive,yaar ye movie ka ending bilkul jhakaas tha dil khush hai gaya
positive,office mein aaj sabki performance full on dhasu thi respect mila
negative,usne meri baat ignore karke sabko panga liya bilkul theek nahin laga
positive,club ka vibe aaj bilkul mast aur chill tha perfect hangout
positive,uske outfit dekh ke sab bole wah thats so swag
negative,uske comments bilkul bakwaas aur irrelevant hain
positive,mera new phone dekh ke sab full on bindass feel kar rahe hain
positive,aaj ka weather ekdum dhoom macha raha hai perfect for outdoor fun
negative,uska attitude itna fattu hai ki koi bhi use tolerate nahin karta
negative,meeting mein uska speech ekdum chichora tha bilkul impact nahin chhoda
positive,yaar aaj ka concert ekdum phodu tha
negative,office ke kaam mein sab kuch full bakwaas chal raha hai
positive,party ka setup itna bindass tha sabko maza aaya
negative,uski performance bilkul jhakaas nahin thi thoda weak lag rahi thi
positive,aaj ka dinner itna mast tha pura vibe dhamakedar lag raha tha
negative,gaadi ka condition full on chalta nahin bilkul bakwaas hai
positive,mera naya phone full swag se loaded hai
negative,woh band ka performance thoda fattu tha expectation se neeche
positive,school reunion mein sabka style ekdum dhasu tha
negative,aaj ke match mein unka play bilkul panga leta hai sabko irritate kar diya
positive,meri party mein sab ne full on masti kari vibe ekdum chill thi
negative,uska attitude full on chichora hai bilkul pasand nahin aaya
positive,yaar aaj ka din sabko ekdum dhoom macha ke chala gaya
negative,woh meeting bilkul bakwaas thi time ka pura waste hai gaya
positive,aaj ke hangout mein sab ne full bindass fun liya
negative,mujhe uski socalled ideas full on jhol lagti hain
positive,woh scene itna epic tha sabne bola what a dhasu moment
neutral,aaj ka mood thoda down tha bas ekdum normal vibe
positive,meri planning bilkul jhakaas thi sabne tareef ki
negative,yaar uska dance move full on chirkut tha koi sense hi nahin bana
positive,office party mein sab ne ekdum swag dikhaya
negative,woh road trip plan bilkul bakwaas nikla pura time waste hai gaya
positive,uski speech ekdum inspiring thi full on bindass energy se bhari hui
positive,aaj ka weather itna mast hai perfect for a chill day
negative,uske jokes bilkul fattu hain sabko thoda bore kar dete hain
positive,meri team ka performance aaj full on dhoom macha raha tha
negative,yaar yeh sab planning ekdum bakwaas nikli sab ultapulta hai gaya
positive,uska style itna bindass hai ki sab usko follow karne lagte hain
negative,aaj ka lunch bilkul chichora tha koi special flavor nahin tha
positive,meeting ke baad sab ka mood ekdum chill rehta hai full on relaxed feel
positive,yaar aaj ka hangout bilkul jhakaas tha
negative,woh movie dekh ke mera mood off hai gaya total bakwaas
positive,office mein sab log full swag ke saath kaam kar rahe hain
negative,uska attitude itna fattu hai ki sabko tang karta hai
positive,party mein sabne masti ki vibe ekdum dhamakedar thi
negative,kal ke match mein unki performance full dhasu nahin thi
positive,yaar aaj ka dinner bilkul mast tha ekdum zabardast
negative,usne meri baat ignore ki kitna chichora hai
neutral,bas yeh sab bakwaas baatein karne se kuch nahin hota
positive,woh banda full on bindass hai sabko impress karta hai
negative,uski socalled advice bilkul fuzool aur bekaar hai
positive,party ka setup dekh ke sabka dil khush hai gaya ekdum jhakaas
negative,yeh traffic jam ne pura din barbaad kar diya total bakwaas
positive,meri nayi car ka look ekdum swag wala hai
positive,woh mera best friend hai hum dono bilkul bindass rehte hain
negative,uski socalled ideas sabko lagti hain jhoothe aur bekaar
positive,aaj office ka mood ekdum chill aur laidback hai
negative,woh meeting mein sirf bakwaas kar raha tha bilkul pointless
positive,yaar yeh outfit kitna dhasu hai full on style
negative,usne mere project ko totally fattu bana diya bilkul bakwaas
positive,aaj subah ki chai bilkul jhakaas lagi full on energizing
negative,woh banda full on panga leta hai sabko pareshan karta hai
positive,meri life mein aaj sab kuch chill lag raha hai full bindass vibe
negative,uski baatein sunkar mera dimag kharab hai gaya pure bakwaas
positive,yeh game khelne ka maza ekdum jhakaas hai sabko must try karna chahiye
negative,woh meeting bilkul fattu aur boring thi
positive,yaar aaj ka lunch bilkul swag se bhara hua tha
negative,uske saath kaam karna ekdum chichora experience tha
positive,weekend pe sabne milke full on masti ki vibe ekdum dhasu thi
negative,usne mere jokes pe hasna band kar diya kitna pagal sa lag raha hai
positive,teri smile ne mera dil churana shuru kar diya
negative,woh raat ko chori karke puri gali ka loot le gaya
negative,yede teri smartness pe main hamesha hass deta hoon
positive,saale tune mere liye party ka mahol bana diya
positive,usne apni unique style se sabka dil churana seekh liya
negative,woh market se maal loot ke chal diya bina koi pachtava ke
negative,police ne uska bank ka loot pakad liya
negative,yede aaj teri planning bilkul gadbad hai
positive,saale teri hasi se sabka mood fresh hai jata hai
positive,aaj ki party mein sabne masti ka loot uthaya
negative,woh saale hamesha waqt pe nahin aata sabko pareshan kar deta hai
positive,uski baaton ne meri dil churana skills ko nayi disha di
negative,yede tumhari baatein bilkul bekaar lagti hain
negative,usne bina soch samajh ke dukan ka maal loot kar liya
positive,match ke dauran humne opponent ki strategy churana seekhi
positive,saale tumhara attitude dekh ke mujhe motivation milti hai
positive,meri nayi bike dekh ke sab log uska style churana mein lag gaye
negative,woh yede aksar bakwaas karta rehta hai
negative,tumne mera pen churana ki koshish ki jo bilkul theek nahin hai
positive,usne shopping mall se best deals ka loot secure kar liya
positive,saale kal ke match ne sabko masti ka loot de diya
negative,woh bina wajah logo ka paisa loot leta hai
negative,yede apne aap ko itna bada samajhna bilkul bewakoofi hai
positive,uski ada dekh ke sabka dil churana hai gaya
negative,woh saale har waqt sirf drama create karta rehta hai
negative,aaj kal ke yede sirf apne faayde ke liye sab kuch loot karte hain
positive,uski aankhon ki chamak ne mujhe dil churana mein majboor kar diya
positive,party mein sponsor ne sabko freebies loot ke diye sab khush hai gaye
negative,saale unke jhoothe promises ne mera trust poora loot liya
positive,woh banda apni smart planning se sabka dil churana mein expert hai
positive,aaj ka din bahut awesome hai
positive,mausam aaj super fresh lag raha hai
negative,office ka workload aaj bahut heavy hai
neutral,yeh movie thodi average lagi na zyada na kam
positive,maine aaj apne kaam ko bohot seriously liya
negative,traffic ke chakkar mein main pura time waste kar diya
positive,lunch mein milne wali biryani ka taste zabardast tha
neutral,kal ke plan mein kuch khaas excitement nahin thi
negative,meri car aaj roadside breakdown hai gayi
positive,weekend ki planning bilkul chill aur relaxed hai
negative,mera exam result mujhe thoda disappointed kar gaya
positive,yeh new cafe ka ambience kaafi soothing hai
negative,aaj ki meeting thodi boring rahi
negative,mujhe yeh design bilkul bhi appealing nahin laga
neutral,party ke baad mood thoda normal feel kar raha hoon
positive,tumhara naya outfit bohot stylish hai
negative,ghar ka khana aaj itna tasty nahin bana
neutral,aaj sab kuch planned lag raha hai
positive,main aaj extra energetic feel kar raha hoon
negative,yeh news sunkar mera mood down hai gaya
positive,meri team ne project par bohot accha kaam kiya hai
neutral,market mein aaj price fluctuations thoda confusing hain
positive,aaj ka din bilkul promising lag raha hai
negative,mujhe yeh discussion bohot irritating lag raha hai
positive,study session aaj kaafi productive raha
negative,aaj ke dinner ka taste bilkul disappointing tha
neutral,subah ka coffee routine bilkul normal hai
positive,mera mood aaj bohot hi upbeat hai
negative,yeh traffic jam se main totally frustrated hai gaya
neutral,office ka environment aaj ordinary hi tha
positive,mujhe yeh naya laptop bilkul pasand aaya
negative,woh movie dekhne layak nahin thi bilkul bekaar thi
negative,aaj ka khana thoda kharab bana isliye disappointment hua
positive,uska pagal pan dekhkar sabko hasi aayi
positive,mujhe uska andaaz bahut pasand aaya
negative,yeh design bahut bekaar hai quality kharab hai
positive,pagal jaisa dance performance dekhkar sab hairaan hai gaye
positive,uska naya idea mujhe bahut pasand aaya
negative,aaj ka plan bekaar hai gaya kuch bhi theek nahin hua
negative,usne itna pagla pan dikhaya ki sab pareshan hai gaye
positive,mujhe tumhara fashion sense bahut pasand hai
negative,office mein aaj sab kaam bekaar chal raha hai
negative,yeh idea thoda kharab lag raha hai sochne ki zarurat hai
positive,uske jokes hamesha pasand aate hain bahut entertaining hote hain
negative,pagal sa lagne wala unka fashion trend mujhe ajeeb lagta hai
positive,maine uski kitab padi aur mujhe bahut pasand aayi
negative,aaj ka traffic bilkul bekaar hai sab rasta blocked hain
neutral,kuch kharab nahin hai bas mood thoda down hai
negative,unki purani gaadi ab kharab hai gayi hai
positive,yeh gaana mujhe itna pasand aaya ki main repeat pe sun raha hoon
neutral,uski pagal harkatein office mein aaj normal si lag rahi hain
negative,woh show itna bekaar tha ki maine beech mein chhod diya
positive,meri behen ko naya makeup look bahut pasand aaya
negative,mera mobile kharab hai gaya ab use karna mushkil hai
negative,usne bekaar baatein karke sabko tang kiya
positive,tumhari madad mujhe bahut pasand aayi
negative,uska bekaar attitude sabko parishan kar raha hai
positive,yeh album itna pasand aaya ki main baar baar sun raha hoon
positive,woh pagla type ka banda mujhe pasand hai kyunki usme masti hai
negative,aaj ka din bilkul kharab raha sab kuch ulta hai gaya
neutral,national baba ramdev sahi farma rahey hey if population policy is not strict mabadi badhti hi jayegi
positive,hamare nabinji odissa c m congratulations apko bahut bahut badhai hai ji
negative,maa ko pairo se nahin raunda jata kya koi apni sagi maa ko pairo se raund sakta hai t co jjzongioha
neutral,ab kia kia es me sharat bhi nahin ki sad bnai phr bhi confusedfacesmilingfacewithhornsunamusedface
negative,pallavighosh food packet choro gaadi pe kapada maro wo dekho kawue ne bit bit khel diya hai beamingfacewithsmilingeyes
positive,inka baap jitega world cup india indiaflexedbiceps
positive,world cup fananthem by india has made my day a lot more amazing fingers crossed for team india cup toh hume t co i46w5a7bjj
neutral,your heart will kill you faster than the bullet
positive,awww i love you too so so much twoheartsfaceblowingakiss t co uhncyaatuq
negative,tcc scam ab kuch nahin hone wala maine 1 btc dubo diya isme dont invest
negative,ghanta khaane ko roti nahin aawam pareshaan hai mehangayi se aur imran aur fauz ke generals ne t co ibfgrerkav
positive,singh thore sir aap sabse ache father hai jo aapke pass etn t co qt2m3wilv1
negative,teri kimat dokodi ki hai gayi amit shah will capture telegana soon kcr will resign
neutral,arif ind mtlb tu suvar ka bacha hai
negative,is se tere savarkar ki cowardice nahin chupega jo to ker raha hai isko whatbou t co l7ckn40zn0
negative,shame on you your family jis bhutto ok naam pe politics kar rahy hai uski jooti mansshoe ok barabar bhi nhe hai tum log
negative,samja chutiye yeh har congress jaise deshdrohi aur tere jaise randwe congress ke supporters ki hai t co cbz1xawir7
negative,lanat aesy ghatya orton par lanat aesy program krny walon par
positive,increase vacancies for ssc cgl 2017 sabka sath sabka vikas increasessccgl2017vacancies tco 8g72qqe4hp
positive,thefilm best of luck my love iloveyoulotofmyloveyou 5 june ke liye god bless you t co p4zvjelg7g
neutral,yeh sub aap logo ki dua aur kartoot ka natija hai sorry nabil bhai abu bachao muhim aur bhi problems l t co ckksf77sub
negative,behan ke lodey dekh tere chahte pakistan mein hinduo ka bina mushkil hai gaya ram kal ki 2 betiyon ka t co pkydrffj17
negative,ye ria congressi hai koi kal isne pakistan ki kisi ghatna ke liye modi ko blame kiya tha
neutral,ssahi baat n love jehad me barbad hui ladkiyon ko samaj ok taraf se v koi help kavi t co bbfwtufdok
negative,pipal ye konsa print media authorised hai abe chutiye vha pe candidate ke member t co h2jtc6iyu2
positive,wishing the very best for our aap cm i am sure hai will grown bigger than his great father many more terms ahea
positive,this highlight news telecast at madarsanews aap ko rakhe aage hamesha lage raho
neutral,diva13 t co xwjztx2vvw
negative,suwar ki aulad british media tujhe bahut chinta hai rahi hai jitna india ko tum harami ne banta aur lutta t co 5vdsxig9ie
positive,indian prime minister shri narendar modi ji badhai congratulations
negative,tere jaise channel love band hona chaie muslim ne sadak par pure parivar ko maar diya par tum jaise t co q5ev80lxje
negative,lekin farq ye hai arabs ok pass tail hai jise wo bech kar khud ko chalate hain or khi jo sirf akela baap bun kar baki t co szrhcvtyrk
negative,fake news coz yrf itni badi galti nahin krga shahrukhkhan ko ab action me psnd nahin krgi audie t co jagmdgrotq
neutral,ji aapka vikalp congress to kya is desh me nahin hai main to kahunga universe me nahin hoga t co hswe03gwf7
neutral,sorry to film vivek oberoi ki wajah see fail hui hai koi accha actor lena chahiye tha
negative,beast bhaitards ka paltu kutta hai ye ajay pe tweet karo toh 5 retweet nahin aate aks
neutral,seeker alhamd o lillah me khud ki kamai pe zindagi guzar raha hn or 3 families ko support kar raha hn ab bolo
positive,good morning cute kartikeyan annaa twoheartssmilingfacewithhearteyeshuggingface happy sunday annaaaa beamingfacewithsmilingeyesbeamingfacewithsmilingeyes t co go4afvwovh
neutral,sincerity agar hai to thek otherwise whoi bezti bhe kar saktai
positive,safar khoobsurat hai mazil se bhi happy wedding aniversery avneil naamkarann adiza avneilsecondanniversary avneil zai
neutral,uppscscam where is opposition where is media democracy fourth pillar kya is country me beef cow mandir masjid samsan
positive,00 your ma everything my backbone for life ily bestie loudlycryingfacepurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheart
positive,rosette good morning papa ji please bless me more sewa sumiran parmarth ka bal bakhshna ji dhan dhan sa t co 0dv6taauuh
neutral,bahut hi sarmnak hai ye ghatna ab koi satta ka pujari nahin dekhega sir or na hi koi nari t co fgmri15ljk
positive,wkwkwk kalah gw sama anjinganjing ultah trending gw ultah gak trending2 happy birthday vivi wish you long life an t co sd8oim42xn
neutral,ek time tha jb bjp per congress hass rhi thi or aaaj congress per pura india hass raha hi smilingfacewithhalo
negative,congressi mahino se chilla rahe the 56 inch is bluff ab dekho kya halat hai gayi 56 seats bhi nahin mili facewithtearsofjoyfacewithtearsofjoy t co qomi6ztwmn
negative,aapne us bande ko block kar diya ab kya fayda share karne ka asli comment to wo deta
neutral,sir aapne achchha nahin kiya mantri ban kar aapne apna kad khud hi chhota kar liya is se bjp ko t co gszpj2nuid
positive,respected pm many many congratulations sir desh ki trakki ke liye mera ek sujhaav hamaare desh m shaaml t co peqvyb1fxb
neutral,poison krishna gadho ko to ye bhi nahin pata ki obama ab president nahin hai us ka facewithtearsofjoypersonfacepalming
negative,surya paagle you are such an askhole you rant shit all day no one cares you r frustrated an t co e6pxyryqph
positive,happy birthday mairoooo may the almighty bless you with the best of both worlds i wish you good hea t co nuadxqqqvq
neutral,shuru hai gaya inka naatak modi keeps someone from bjprss huh amit shah is home minister look what we have co t co q7bxjrqj8y
negative,mansoor ali mansoor ali agar tu sacha pakistani hai to ye tweets karo pakistan ke wajood ko khatra hai un se go log t co dutchq9ow8
negative,beta burnol laga debate to sale inke bhee chalega
negative,kaha se ati hai itni pavitr ldkiya jine bc nahin pata rollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughing villen t co oix6ca3whi
positive,you have seen an kidnapping film i think you are almost good to watch apharan speakerlowvolume uphaarun mea t co uqfkfykrin
positive,modi ji ki is etihasik jeet ke liye hamari tarf se dher sari subhkamnaye i love modi i love my india bharat mata ki t co b1mii2evw0
positive,you are the best thing that ever happened to me heartsuit
positive,jai bharat congratulations p m modiji ke uper pura bharat ko viswas hai p s rajpurohit 9949436427
neutral,yahi hai congress party kee yogyata congress party mein gandhis ke bagair koi bhi candidate party adhyaksh ke kabil nahin
negative,you mean our problem was being democratic vivek tum jo katori main attention ki bheek mang rahe hai uspe khoon laga hai
negative,aisey hi paon tale inke armaan aur ye khud kuchle jayenge aab nahin chalegi ye deshdrohi wali mansikta t co 45xv1lwdlq
neutral,forever repeat after me hindi is not the national language of india
neutral,nct127 superhuman we are superhuman every song on the fkn album just took my wig away stream jet lag
negative,amanna tamil nadu me chodo delhi ke pvt schools me hindi ki buri halat hai 9th ke baad hindi hai hi nahin
positive,bahut bahut subhkamnaye or badhai bhai hanumang beniwal ko t co ilr0ftrjfc
neutral,padala bug well t co v2wdyveusv
neutral,vibhor85 wo to me bata dungi lkn ye me ne kdhr likha hai
positive,war games is one of the best doctor who stories ever btw that s a hill i will gladly die on i ha t co 4bjpaeghpb
neutral,bikul sahi hai ab jo bhi hai khairat me hai lena hai to lo nahin to kat lo t co 0ub285haeq
neutral,wohi to hypothetically toh raul vinci bhi rajiv gandhi ke suputr hain but tco wzdcxgfpec
negative,khanji she is not bad bro atleast gaddar toh nahin hai na jaise humhare desh mein hai
negative,jab kapra eejaad nahin hoova tha to janwer ki khaal hi sardion me jisam ko sardi say bachanay kay waastay t co p0atchdkyn
positive,happy bdday may god bless you grinningfacewithbigeyes enjoying the day
neutral,lets check all the evms and vvpat of gujarat alone sab samajh aa jaega why select and choose t co didnouaapo
negative,even the person sharing it knows it is fake not only this v t co lmzhgxxdqs
positive,new zealand world cup jeet jaye almost utni hee khushi hogi jitni pakistan ok jeetne ki hogi have always had a high l
positive,good is duniya ko pyaar our pyaar karnay walon ki zarorat hai facesavoringfood t co asgmcnoka9
neutral,bjp ne jdu ko jyada seat se ladne diya iska matlab yeh nahin tha ki bjp kamzor hai par inka f t co yckyyx4xxt
neutral,dhuvad hiral facewithtearsofjoyfacewithtearsofjoygrinningsquintingfacegrinningsquintingfacegrinningsquintingface heiii thinkingfacefacewithraisedeyebrowfacewithrollingeyesfacewithrollingeyes muje kuchh kaha kisi ne facewithtearsofjoygrinningsquintingfacerollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughingfacewithtearsofjoyfacewithtearsofjoyseenoevilmonkeyseenoevilmonkeyseenoevilmonkey
negative,es desh me tum jaise chutiye rahege to kaise koi apna party ka prawakta bhejega midia to desh ka 4th t co s2h1s8ctws
negative,shame shame shame on you mr sohail kiya tum allah rabb ul izzat kay ehkammat ko maannai sai i t co hccvlgtvhs
neutral,i just had golgappay limca and ice cream sbha gala tou kharab nahin huga
negative,tumhari sabha me tumhari gandagi sun kar vote bjp ko diye soch es aadami ko to bahut diyaa baap ko diya to jail ja t co odgg6yzxhd
negative,krpk voice real ass kurta give a fuck bout a spider
positive,my love friend sapna ji ma aapka dil churalunga key ki hame aapk dil ma rahte hai aap too mar dil ma hai my love frien t co vi2zpojgjt
neutral,kuch samay pahle rajiv gandhi ji ke bare me bole the aap abhi turant rang badal liyesame as gand tco hcktmayzth
neutral,ji tumhare liye mayawati hi hai baki bjp tumhare liye kch bhi krle tumko nahin dikhega bjp hi phle party hai t co re1ladf2cy
positive,twohearts good morning my rockstar papa ji twohearts rose please bless me more sewa sumiran parmarth ka ba t co b3y2jctrun
positive,kalia thaa what you want hindi for uneducated people nice having a conversation with you bro t co i7x4rbpxv8
negative,chubirs fans be like hum katwane ko taiyar hai aao humara kat jao sale chutias facewithtearsofjoy
negative,sun be madharchod teri ma ka bhosda randi ke teri maa ok t co cs5mwipcpl
